weeks,Season,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
11.0,2015,3627,B.Marshall,WR,NYJ,a,HOU,13.2,7900.0,2015112203,2015-11-22,00-0024334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,47,1,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,13.4
11.0,2015,3423,A.Boldin,WR,SF,a,SEA,11.8,5700.0,2015112210,2015-11-22,00-0022084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,93,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.9
3.0,2015,2754,R.Mathews,RB,PHI,a,NYJ,17.8,5500.0,2015092702,2015-09-27,00-0027864,0,0,0,0,0,0,0,25,108,0,27,0,0,0,2,20,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,RB,4.5
16.0,2015,1458,K.Moore,QB,DAL,a,BUF,6.34,6000.0,2015122709,2015-12-27,00-0029234,31,13,186,0,1,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,9.0
16.0,2015,5371,J.Langford,RB,CHI,a,TB,8.3,5100.0,2015122708,2015-12-27,00-0031569,0,0,0,0,0,0,0,19,83,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.0
6.0,2015,3501,L.Fitzgerald,WR,ARI,a,PIT,13.3,7500.0,2015101802,2015-10-18,00-0022921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,93,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,13.9
2.0,2015,2993,T.Yeldon,RB,JAC,h,MIA,9.8,6500.0,2015092011,2015-09-20,00-0032209,0,0,0,0,0,0,0,25,70,0,12,0,0,0,3,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.9
6.0,2015,6225,C.Boswell,PK,PIT,h,ARI,17.0,4500.0,2015101802,2015-10-18,00-0031136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,51,12,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,4.0
14.0,2015,3501,L.Fitzgerald,WR,ARI,h,MIN,6.6,7200.0,2015121000,2015-12-10,00-0022921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,14.0
7.0,2015,6206,J.Tucker,PK,BAL,a,ARI,5.0,4800.0,2015102600,2015-10-26,00-0029597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,44,3,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
12.0,2015,6236,J.Myers,PK,JAC,h,SD,15.0,4700.0,2015112906,2015-11-29,00-0031492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,51,12,1,1,2,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,9.0
1.0,2015,1378,C.Newton,QB,CAR,a,JAC,13.5,8400.0,2015091302,2015-09-13,00-0027939,31,18,175,1,1,0,0,14,35,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,14.6
2.0,2015,1415,K.Cousins,QB,WAS,h,STL,12.12,5700.0,2015092005,2015-09-20,00-0029604,27,23,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,12.38
5.0,2015,1466,M.Mariota,QB,TEN,h,BUF,11.18,7400.0,2015101106,2015-10-11,00-0032268,32,21,187,0,1,0,0,5,47,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.78
15.0,2015,1450,R.Griffin,TE,HOU,a,IND,4.0,4900.0,2015122004,2015-12-20,00-0030108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.6
1.0,2015,1252,A.Rodgers,QB,GB,a,CHI,23.06,9700.0,2015091300,2015-09-13,00-0023459,23,18,189,3,0,0,0,8,35,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,18.8
2.0,2015,5252,S.Watkins,WR,BUF,h,NE,15.0,6600.0,2015092001,2015-09-20,00-0031325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.2
5.0,2015,4562,L.Green,TE,SD,h,PIT,7.5,5100.0,2015101200,2015-10-12,00-0029275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,2.7
9.0,2015,5258,A.Robinson,WR,JAC,a,NYJ,15.1,7200.0,2015110805,2015-11-08,00-0031428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,121,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.3
15.0,2015,6232,T.Coons,PK,CLE,a,SEA,7.0,4500.0,2015122008,2015-12-20,00-0031112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,37,6,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,4.0
12.0,2015,6048,S.Janikowski,PK,OAK,a,TEN,6.0,4600.0,2015112907,2015-11-29,00-0019646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,3,3,0,3,0,3,0,0,0.0,0,0,0,0,0,0,0,1,K,6.0
3.0,2015,5198,K.Allen,WR,SD,a,MIN,31.3,7600.0,2015092704,2015-09-27,00-0030279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,133,2,34,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,6.6
16.0,2015,4573,J.Reed,TE,WAS,a,PHI,29.4,6900.0,2015122600,2015-12-26,00-0030472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,129,2,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,12.0
16.0,2015,4650,M.Williams,TE,BAL,h,PIT,2.6,4800.0,2015122712,2015-12-27,00-0031558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,2.6
4.0,2015,5125,R.Cobb,WR,GB,a,SF,6.9,8200.0,2015100409,2015-10-04,00-0028002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,14.6
8.0,2015,6120,N.Folk,PK,NYJ,a,OAK,9.0,4600.0,2015110109,2015-11-01,00-0025565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,40,6,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
4.0,2015,3677,C.Johnson,WR,DET,a,SEA,7.1,8100.0,2015100500,2015-10-05,00-0025389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,56,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,WR,7.2
3.0,2015,2960,A.Blue,RB,HOU,h,TB,19.9,5300.0,2015092703,2015-09-27,00-0031075,0,0,0,0,0,0,0,31,139,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,RB,5.1
1.0,2015,1415,K.Cousins,QB,WAS,h,MIA,9.74,6000.0,2015091303,2015-09-13,00-0029604,31,21,196,1,2,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,-3,0,1,QB,12.68
