weeks,Season_x,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,Season_y,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
1,2016,1409,A.Luck,QB,IND,h,DET,35.5,8700.0,2016,2016091111,9/11/16,00-0029668,47,31,385,4,0,1,1,3,21,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,20.71
1,2016,1151,D.Brees,QB,NO,h,OAK,31.42,8700.0,2016,2016091105,9/11/16,00-0020531,42,28,423,4,0,0,0,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,QB,19.68
1,2016,1254,A.Smith,QB,KC,h,SD,29.02,7000.0,2016,2016091104,9/11/16,00-0023436,48,34,363,2,1,0,0,4,15,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.65
1,2016,1465,J.Winston,QB,TB,a,ATL,26.54,7500.0,2016,2016091100,9/11/16,00-0031503,33,23,281,4,1,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.73
1,2016,1340,M.Stafford,QB,DET,a,IND,26.1,7400.0,2016,2016091111,9/11/16,00-0026498,39,31,340,3,0,0,0,2,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,18.01
1,2016,1301,M.Ryan,QB,ATL,h,TB,24.36,7600.0,2016,2016091100,9/11/16,00-0026143,39,27,334,2,0,1,1,3,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.57
1,2016,1252,A.Rodgers,QB,GB,a,JAC,23.56,9000.0,2016,2016091103,9/11/16,00-0023459,34,20,199,2,0,0,0,4,16,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,20.34
1,2016,1232,B.Roethlisberger,QB,PIT,a,WAS,22.8,8500.0,2016,2016091200,9/12/16,00-0022924,37,27,300,3,1,0,0,1,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,2,0,0,1,QB,17.2
1,2016,1441,D.Carr,QB,OAK,a,NO,22.36,7700.0,2016,2016091105,9/11/16,00-0031280,38,24,319,1,0,3,2,2,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,18.68
1,2016,1378,C.Newton,QB,CAR,a,DEN,22.16,8600.0,2016,2016090800,9/8/16,00-0027939,33,18,194,1,1,0,0,11,54,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,17.66
1,2016,1225,E.Manning,QB,NYG,a,DAL,19.28,7200.0,2016,2016091110,9/11/16,00-0022803,28,19,207,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,QB,17.34
1,2016,1514,C.Wentz,QB,PHI,h,CLE,19.22,5000.0,2016,2016091107,9/11/16,00-0032950,37,22,278,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,1,-6,0,1,QB,12.51
1,2016,1207,C.Palmer,QB,ARI,h,NE,18.94,7900.0,2016,2016091112,9/11/16,00-0021429,37,24,271,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,-2,0,1,QB,16.73
1,2016,1403,A.Dalton,QB,CIN,a,NYJ,18.34,7700.0,2016,2016091106,9/11/16,00-0027973,30,23,366,1,1,0,0,3,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,14.77
1,2016,1466,M.Mariota,QB,TEN,h,MIN,17.74,7500.0,2016,2016091108,9/11/16,00-0032268,41,25,271,2,1,1,0,4,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,-1,1,1,QB,15.85
1,2016,1414,B.Osweiler,QB,HOU,h,CHI,17.64,7100.0,2016,2016091102,9/11/16,00-0029682,35,22,231,2,1,0,0,4,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.2
1,2016,1242,R.Fitzpatrick,QB,NYJ,h,CIN,16.06,7300.0,2016,2016091106,9/11/16,00-0023682,35,19,189,2,1,0,0,4,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,-2,0,1,QB,15.16
1,2016,1442,B.Bortles,QB,JAC,h,GB,16.0,8400.0,2016,2016091103,9/11/16,00-0031407,39,24,320,1,1,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.98
1,2016,1410,R.Tannehill,QB,MIA,a,SEA,15.14,6400.0,2016,2016091109,9/11/16,00-0029701,29,16,186,0,0,0,0,5,17,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,QB,12.6
1,2016,1231,P.Rivers,QB,SD,a,KC,14.62,7300.0,2016,2016091104,9/11/16,00-0022942,36,25,243,1,0,0,0,2,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,15.06
1,2016,1452,J.Garoppolo,QB,NE,a,ARI,14.56,6900.0,2016,2016091112,9/11/16,00-0031345,33,24,264,1,0,0,0,4,12,0,10,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,0,-2,1,1,QB,12.59
1,2016,1381,B.Gabbert,QB,SF,h,STL,14.0,6200.0,2016,2016091201,9/12/16,00-0027948,35,22,170,1,0,0,0,9,43,0,11,0,0,0,1,-16,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,12.12
1,2016,1412,R.Wilson,QB,SEA,h,MIA,12.92,8500.0,2016,2016091109,9/11/16,00-0029263,43,27,258,1,1,0,0,4,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,-6,1,1,QB,21.02
1,2016,1263,J.Cutler,QB,CHI,a,HOU,12.84,6700.0,2016,2016091102,9/11/16,00-0024226,29,16,216,1,1,0,0,2,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,2,0,0,1,QB,13.81
1,2016,1302,J.Flacco,QB,BAL,h,BUF,12.02,7000.0,2016,2016091101,9/11/16,00-0026158,34,23,258,1,0,0,0,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,-2,1,1,QB,14.31
1,2016,1415,K.Cousins,QB,WAS,h,PIT,11.96,7800.0,2016,2016091200,9/12/16,00-0029604,43,30,329,0,2,0,0,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.58
1,2016,1488,T.Siemian,QB,DEN,h,CAR,11.12,6000.0,2016,2016090800,9/8/16,00-0032156,26,18,178,1,2,0,0,5,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,9.92
1,2016,1501,D.Prescott,QB,DAL,h,NYG,10.28,5000.0,2016,2016091110,9/11/16,00-0033077,45,25,227,0,0,0,0,2,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,15.51
1,2016,1213,S.Hill,QB,MIN,a,TEN,10.24,5000.0,2016,2016091108,9/11/16,00-0020679,33,18,236,0,0,0,0,2,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,10.67
1,2016,1400,T.Taylor,QB,BUF,a,BAL,5.54,7200.0,2016,2016091101,9/11/16,00-0028118,22,15,111,0,0,0,0,5,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,16.91
1,2016,1435,C.Keenum,QB,STL,a,SF,4.2,6000.0,2016,2016091201,9/12/16,00-0028986,35,17,130,0,2,0,0,3,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,11.87
1,2016,2500,D.Williams,RB,PIT,a,WAS,32.1,7100.0,2016,2016091200,9/12/16,00-0024242,0,0,0,0,0,0,0,26,143,2,17,15,0,0,6,28,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,13.19
1,2016,2914,S.Ware,RB,KC,h,SD,29.4,5400.0,2016,2016091104,9/11/16,00-0030414,0,0,0,0,0,0,0,11,70,1,14,5,0,0,7,129,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,11.42
1,2016,2924,C.Anderson,RB,DEN,h,CAR,27.9,6700.0,2016,2016090800,9/8/16,00-0029854,0,0,0,0,0,0,0,20,92,1,28,1,0,0,4,47,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,10.33
1,2016,2907,T.Riddick,RB,DET,a,IND,25.3,5100.0,2016,2016091111,9/11/16,00-0030107,0,0,0,0,0,0,0,7,45,1,21,21,0,0,5,63,1,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.12
1,2016,2933,C.Hyde,RB,SF,h,STL,22.3,6200.0,2016,2016091201,9/12/16,00-0031045,0,0,0,0,0,0,0,23,88,2,18,11,0,0,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,9.36
1,2016,5395,D.Johnson,RB,ARI,h,NE,21.2,8800.0,2016,2016091112,9/11/16,00-0032187,0,0,0,0,0,0,0,16,89,1,45,1,0,0,4,43,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,13.97
1,2016,2689,D.Woodhead,RB,SD,a,KC,20.5,5800.0,2016,2016091104,9/11/16,00-0026019,0,0,0,0,0,0,0,16,89,0,21,0,0,0,5,31,1,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,7.53
1,2016,2995,A.Abdullah,RB,DET,a,IND,20.5,6300.0,2016,2016091111,9/11/16,00-0032104,0,0,0,0,0,0,0,12,63,0,13,0,0,0,5,57,1,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,8.93
1,2016,2831,D.Murray,RB,TEN,h,MIN,20.2,6500.0,2016,2016091108,9/11/16,00-0028009,0,0,0,0,0,0,0,13,42,0,12,0,0,0,5,35,2,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,RB,9.02
1,2016,2613,M.Forte,RB,NYJ,h,CIN,18.0,6500.0,2016,2016091106,9/11/16,00-0026184,0,0,0,0,0,0,0,22,96,0,14,0,0,0,5,59,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,10.21
1,2016,2991,M.Gordon,RB,SD,a,KC,17.7,5700.0,2016,2016091104,9/11/16,00-0032144,0,0,0,0,0,0,0,14,57,2,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,7.92
1,2016,2707,L.McCoy,RB,BUF,a,BAL,15.0,6900.0,2016,2016091101,9/11/16,00-0027029,0,0,0,0,0,0,0,16,58,1,16,1,0,0,4,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,13.01
1,2016,2993,T.Yeldon,RB,JAC,h,GB,14.9,6100.0,2016,2016091103,9/11/16,00-0032209,0,0,0,0,0,0,0,21,39,1,7,5,0,0,4,30,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,8.6
1,2016,2969,I.Crowell,RB,CLE,a,PHI,14.8,5700.0,2016,2016091107,9/11/16,00-0030656,0,0,0,0,0,0,0,12,62,1,20,2,0,0,2,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,8.01
1,2016,2994,T.Coleman,RB,ATL,h,TB,14.2,5200.0,2016,2016091100,9/11/16,00-0032058,0,0,0,0,0,0,0,8,22,0,7,0,0,0,5,95,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,5.73
1,2016,2754,R.Mathews,RB,PHI,h,CLE,13.7,6100.0,2016,2016091107,9/11/16,00-0027864,0,0,0,0,0,0,0,22,77,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,10.39
1,2016,2859,L.Miller,RB,HOU,h,CHI,13.7,7600.0,2016,2016091102,9/11/16,00-0029615,0,0,0,0,0,0,0,28,106,0,12,0,0,0,4,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,0,0,1,RB,14.32
1,2016,2899,L.Murray,RB,OAK,a,NO,13.7,6600.0,2016,2016091105,9/11/16,00-0030513,0,0,0,0,0,0,0,14,59,1,10,6,0,0,1,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,11.14
1,2016,5371,J.Langford,RB,CHI,a,HOU,13.3,6200.0,2016,2016091102,9/11/16,00-0031569,0,0,0,0,0,0,0,17,57,1,15,1,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,9.69
1,2016,2858,D.Martin,RB,TB,a,ATL,12.1,7200.0,2016,2016091100,9/11/16,00-0029613,0,0,0,0,0,0,0,18,62,0,17,0,0,0,5,34,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,11.21
1,2016,5444,E.Elliott,RB,DAL,h,NYG,11.7,7900.0,2016,2016091110,9/11/16,00-0033045,0,0,0,0,0,0,0,20,51,1,8,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,12.79
1,2016,2931,C.Sims,RB,TB,a,ATL,11.6,4700.0,2016,2016091100,9/11/16,00-0031390,0,0,0,0,0,0,0,4,9,0,5,0,0,0,3,32,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,7.06
1,2016,2696,A.Foster,RB,MIA,a,SEA,11.5,6500.0,2016,2016091109,9/11/16,00-0026796,0,0,0,0,0,0,0,13,38,0,9,0,0,0,3,62,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,1,RB,9.0
1,2016,2721,L.Blount,RB,NE,a,ARI,11.0,6000.0,2016,2016091112,9/11/16,00-0027325,0,0,0,0,0,0,0,22,70,1,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,RB,6.55
1,2016,2467,F.Gore,RB,IND,h,DET,9.8,6200.0,2016,2016091111,9/11/16,00-0023500,0,0,0,0,0,0,0,14,59,0,9,0,0,0,4,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,10.35
1,2016,2793,M.Ingram,RB,NO,h,OAK,9.7,7300.0,2016,2016091105,9/11/16,00-0027966,0,0,0,0,0,0,0,12,58,0,17,0,0,0,2,29,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,12.35
1,2016,2928,J.Hill,RB,CIN,a,NYJ,9.1,6500.0,2016,2016091106,9/11/16,00-0031301,0,0,0,0,0,0,0,9,31,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,8.69
1,2016,2896,E.Lacy,RB,GB,a,JAC,8.3,7100.0,2016,2016091103,9/11/16,00-0030485,0,0,0,0,0,0,0,14,61,0,28,0,0,0,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,11.37
1,2016,2658,R.Jennings,RB,NYG,a,DAL,8.3,6000.0,2016,2016091110,9/11/16,00-0027155,0,0,0,0,0,0,0,18,75,0,17,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,4,0,1,RB,9.94
1,2016,2830,S.Vereen,RB,NYG,a,DAL,7.6,5300.0,2016,2016091110,9/11/16,00-0027994,0,0,0,0,0,0,0,6,38,0,10,0,0,0,3,23,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.01
1,2016,5402,T.Rawls,RB,SEA,h,MIA,7.3,7400.0,2016,2016091109,9/11/16,00-0031897,0,0,0,0,0,0,0,12,32,0,8,0,0,0,3,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.09
1,2016,2954,J.White,RB,NE,a,ARI,6.9,4900.0,2016,2016091112,9/11/16,00-0031062,0,0,0,0,0,0,0,1,4,0,4,0,0,0,5,40,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,5.79
1,2016,2612,J.Stewart,RB,CAR,a,DEN,6.4,6400.0,2016,2016090800,9/8/16,00-0026153,0,0,0,0,0,0,0,15,64,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,8.87
1,2016,2930,D.Freeman,RB,ATL,h,TB,6.0,8100.0,2016,2016091100,9/11/16,00-0031285,0,0,0,0,0,0,0,11,20,0,10,0,0,0,4,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,12.12
1,2016,2819,B.Powell,RB,NYJ,h,CIN,5.8,5500.0,2016,2016091106,9/11/16,00-0028064,0,0,0,0,0,0,0,4,41,0,16,0,0,0,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.45
1,2016,5445,D.Henry,RB,TEN,h,MIN,5.4,5400.0,2016,2016091108,9/11/16,00-0032764,0,0,0,0,0,0,0,5,3,0,5,0,0,0,2,41,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.52
1,2016,2987,C.West,RB,KC,h,SD,5.3,5100.0,2016,2016091104,9/11/16,00-0030668,0,0,0,0,0,0,0,3,-1,0,8,0,0,0,6,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,6.78
1,2016,2929,T.West,RB,BAL,h,BUF,4.8,4700.0,2016,2016091101,9/11/16,00-0031375,0,0,0,0,0,0,0,12,32,0,10,0,0,0,2,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,5.9
