,PK,QB,RB,TE,WR
Ridge_train,3.96956540737,6.04086801945,6.36393995191,5.08036930008,6.5902289427
ElasticNet_train,4.39665603358,7.05329532124,7.30415371015,5.71040272647,7.41235179555
RandomForestRegressor_train,4.0517264045,6.32675397041,6.61153974271,5.08776359465,6.75922462649
Ridge_cv,6.99698977874,6.99698977874,6.99698977874,6.99698977874,6.99698977874
ElasticNet_cv,6.83465041122,6.83465041122,6.83465041122,6.83465041122,6.83465041122
RandomForestRegressor_cv,6.793205842,6.81608901323,6.78204894593,6.79072998233,6.79068525412
Ridge_test,4.35971348371,7.37658634757,8.01276407535,5.54507671719,7.60417536636
ElasticNet_test,4.10406201107,7.13198624528,7.47032307052,5.43463841025,7.14880483387
RandomForestRegressor_test,4.10599815857,7.11464422767,7.53757446932,5.51812947887,7.25537547892
